date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2025-08-06,37.670833333333334,30.40416666666667,596.625,16.120833333333334,7.604166666666667,68.79166666666667,0.5766666666666667,14.25,1.8229166666666667,102.45833333333333,68.95833333333333
2025-08-07,39.53333333333333,34.92916666666667,749.375,24.816666666666666,12.125,62.166666666666664,0.5125000000000001,9.166666666666666,1.8812499999999999,102.33333333333333,69.08333333333333
2025-08-08,23.829166666666666,23.27916666666667,608.375,17.608333333333334,8.441666666666666,63.0,0.38958333333333334,0.875,1.5708333333333335,75.66666666666667,51.166666666666664
2025-08-09,20.025000000000002,19.4375,582.6666666666666,16.666666666666668,7.9125000000000005,67.25,0.375,1.1666666666666667,1.8979166666666665,73.125,52.0
2025-08-10,21.054166666666667,18.849999999999998,477.4583333333333,13.025,7.033333333333334,60.333333333333336,0.4479166666666667,4.416666666666667,1.075,61.375,35.041666666666664
2025-08-11,17.712500000000002,13.691666666666668,360.5,7.754166666666666,4.545833333333333,67.08333333333333,0.40458333333333335,7.833333333333333,1.8291666666666666,61.458333333333336,35.25
2025-08-12,18.770833333333332,14.679166666666667,387.625,7.783333333333334,5.129166666666666,60.625,0.4875,7.833333333333333,1.39375,53.458333333333336,28.583333333333332
2025-08-13,16.620833333333334,14.216666666666667,344.25,11.545833333333334,6.529166666666666,44.625,0.3254166666666667,4.625,0.6208333333333333,57.416666666666664,30.916666666666668
2025-08-14,7.8125,7.229166666666667,323.75,8.020833333333334,4.904166666666667,51.166666666666664,0.24958333333333335,1.125,1.0979166666666667,45.25,23.791666666666668
2025-08-15,8.166666666666666,7.483333333333333,305.2083333333333,7.866666666666667,4.2125,52.333333333333336,0.27625,1.4166666666666667,1.2437500000000001,27.0,20.875
2025-08-16,6.9125000000000005,6.154166666666666,302.5833333333333,6.929166666666667,4.458333333333333,56.75,0.23166666666666666,1.4583333333333333,1.1958333333333333,32.666666666666664,22.791666666666668
2025-08-17,7.391666666666667,5.4875,316.0,6.541666666666667,3.5875,44.833333333333336,0.23750000000000002,3.6666666666666665,1.1520833333333333,25.791666666666668,17.916666666666668
2025-08-18,3.7541666666666664,3.533333333333333,252.0,6.354166666666667,3.4416666666666664,44.875,0.10333333333333333,0.3333333333333333,1.0854166666666667,21.75,17.958333333333332
2025-08-19,3.6791666666666667,3.4416666666666664,229.5,5.558333333333334,2.8375,51.541666666666664,0.08458333333333334,0.4583333333333333,1.2104166666666667,23.375,20.625
2025-08-20,6.4375,5.045833333333333,262.0416666666667,5.6000000000000005,3.283333333333333,52.625,0.14083333333333334,2.4166666666666665,1.6020833333333335,24.458333333333332,21.0
2025-08-21,14.3375,9.079166666666667,270.2083333333333,6.495833333333334,3.266666666666667,51.375,0.27875,9.916666666666666,2.002083333333333,29.5,20.5
2025-08-22,20.537499999999998,12.9,302.9583333333333,7.366666666666666,3.725,44.541666666666664,0.3520833333333333,13.875,1.6979166666666667,46.708333333333336,22.583333333333332
2025-08-23,13.808333333333332,10.104166666666666,269.5833333333333,6.458333333333333,3.391666666666666,52.041666666666664,0.2704166666666667,6.208333333333333,2.4479166666666665,48.958333333333336,25.625
2025-08-24,10.620833333333334,8.275,253.45833333333334,6.879166666666666,3.275,47.0,0.25125000000000003,3.75,1.8291666666666666,37.375,20.416666666666668
2025-08-25,13.020833333333334,9.549999999999999,254.04166666666666,7.241666666666667,3.591666666666667,50.75,0.23708333333333334,5.5,2.1020833333333333,35.916666666666664,21.041666666666668
2025-08-26,10.029166666666667,8.770833333333334,320.0416666666667,7.645833333333333,3.8333333333333335,44.916666666666664,0.2558333333333333,1.9166666666666667,1.2520833333333334,38.0,20.0
2025-08-27,12.058333333333332,9.054166666666667,380.625,8.754166666666666,4.704166666666667,47.333333333333336,0.3125,5.916666666666667,1.1395833333333334,35.625,20.083333333333332
2025-08-28,9.466666666666667,8.345833333333333,313.125,8.445833333333333,4.891666666666667,56.375,0.22541666666666668,2.375,1.4229166666666666,40.333333333333336,23.541666666666668
2025-08-29,16.204166666666666,10.166666666666666,299.5833333333333,6.441666666666666,4.0125,60.333333333333336,0.2808333333333333,11.791666666666666,2.09375,37.5,24.375
2025-08-30,13.041666666666666,8.920833333333333,312.625,8.025,4.070833333333334,52.708333333333336,0.2304166666666667,8.208333333333334,2.0770833333333334,36.083333333333336,22.833333333333332
